<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.08.03	09:08:00	104150	104150	104150	104150	1	2	5
2020.08.03	09:16:00	104085	104085	104085	104085	1	1	5
2020.08.03	09:18:00	103900	103900	103900	103900	3	3	5
2020.08.03	09:26:00	104100	104100	104100	104100	1	50	5
2020.08.03	09:28:00	104230	104230	104150	104150	2	6	5
2020.08.03	09:30:00	104000	104000	104000	104000	1	1	5
2020.08.03	10:12:00	103850	103850	103820	103820	2	10	5
2020.08.03	10:14:00	103845	104055	103825	103860	5	31	5
2020.08.03	10:16:00	103900	103900	103880	103880	2	47	5
2020.08.03	10:20:00	103690	103690	103570	103645	4	61	5
2020.08.03	10:22:00	103350	103350	103350	103350	1	7	5
2020.08.03	10:24:00	103300	103300	102950	102950	10	51	5
2020.08.03	10:32:00	103335	103335	103080	103080	3	3	5
2020.08.03	10:52:00	103080	103080	103080	103080	2	20	5
2020.08.03	10:54:00	103000	103000	103000	103000	1	2	5
2020.08.03	10:56:00	102800	102800	102700	102700	2	2	5
2020.08.03	11:00:00	102875	102875	102875	102875	1	2	5
2020.08.03	11:12:00	103890	103890	103890	103890	2	15	5
2020.08.03	11:16:00	103575	103575	103575	103575	1	1	5
2020.08.03	11:32:00	103050	103050	103050	103050	1	10	5
2020.08.03	11:36:00	103215	103215	103215	103215	1	1	5
2020.08.03	11:44:00	103245	103315	103245	103315	2	2	5
2020.08.03	11:52:00	103275	103275	103275	103275	1	7	5
2020.08.03	11:54:00	103255	103540	103255	103460	18	130	5
2020.08.03	11:56:00	103455	103455	103200	103200	3	12	5
2020.08.03	11:58:00	103185	103185	103185	103185	1	1	5
2020.08.03	12:00:00	103395	103395	103395	103395	1	1	5
2020.08.03	12:08:00	103020	103020	103020	103020	3	38	5
2020.08.03	12:12:00	102990	102990	102945	102945	2	2	5
2020.08.03	12:18:00	103030	103370	103030	103370	6	42	5
2020.08.03	12:22:00	103400	103400	103400	103400	1	50	5
2020.08.03	12:38:00	103250	103250	103250	103250	2	50	5
2020.08.03	13:24:00	103465	103465	103465	103465	1	4	5
2020.08.03	13:30:00	103745	103745	103745	103745	1	1	5
2020.08.03	13:32:00	103815	103815	103815	103815	1	1	5
2020.08.03	13:34:00	103985	103985	103985	103985	1	1	5
2020.08.03	13:36:00	104020	104020	104020	104020	1	2	5
2020.08.03	13:38:00	103970	104050	103970	104050	2	11	5
2020.08.03	13:44:00	104200	104200	104200	104200	1	2	5
2020.08.03	14:02:00	103845	103845	103795	103795	4	20	5
2020.08.03	14:04:00	103765	103785	103720	103785	3	100	5
2020.08.03	14:16:00	103780	103780	103780	103780	1	1	5
2020.08.03	14:18:00	103795	103795	103795	103795	1	5	5
2020.08.03	14:24:00	103870	103870	103870	103870	1	1	5
2020.08.03	14:26:00	103800	103800	103800	103800	1	1	5
2020.08.03	14:54:00	104020	104020	104020	104020	1	10	5
2020.08.03	14:56:00	103935	103935	103935	103935	1	23	5
2020.08.03	15:32:00	103925	103925	103925	103925	1	1	5
2020.08.03	15:40:00	103950	103950	103950	103950	1	1	5
2020.08.03	15:56:00	103800	103800	103800	103800	1	1	5
2020.08.03	16:04:00	103800	103800	103800	103800	1	9	5
2020.08.03	16:08:00	103360	103360	103360	103360	2	15	5
2020.08.03	16:10:00	103360	103360	103360	103360	1	1	5
2020.08.03	16:12:00	103360	103360	103360	103360	1	1	5
2020.08.03	16:14:00	103245	103245	103245	103245	1	1	5
2020.08.03	16:20:00	102910	102910	102800	102800	2	2	5
2020.08.03	16:22:00	102990	102990	102990	102990	1	1	5
2020.08.03	16:24:00	103040	103075	103040	103050	3	62	5
2020.08.03	16:28:00	103090	103090	103090	103090	1	1	5
2020.08.03	16:40:00	103290	103290	103290	103290	1	1	5
2020.08.03	16:46:00	103350	103350	103350	103350	1	1	5
2020.08.03	16:50:00	103300	103300	103300	103300	2	20	5
2020.08.03	16:54:00	103400	103400	103400	103400	2	9	5
2020.08.03	17:22:00	103400	103400	103400	103400	1	10	5
2020.08.03	17:32:00	103480	103480	103450	103450	4	77	5
2020.08.03	17:34:00	103450	103470	103450	103470	3	5	5
2020.08.03	17:36:00	103440	103470	103430	103455	25	160	5
2020.08.03	17:40:00	103385	103385	103320	103320	4	76	5
2020.08.03	17:46:00	103305	103305	103305	103305	1	1	5
2020.08.03	17:50:00	103245	103245	103245	103245	1	1	5
2020.08.03	17:52:00	103350	103370	103350	103370	15	100	5
2020.08.03	17:54:00	103375	103375	103375	103375	3	40	5
2020.08.04	09:08:00	102445	102445	102330	102330	3	20	5
2020.08.04	09:10:00	102540	102540	102540	102540	1	10	5
2020.08.04	09:14:00	102450	102450	102450	102450	1	1	5
2020.08.04	09:20:00	102450	102450	102450	102450	1	1	5
2020.08.04	09:26:00	102315	102315	102225	102225	2	51	5
2020.08.04	09:32:00	102250	102250	102250	102250	1	1	5
2020.08.04	09:36:00	102090	102090	102090	102090	1	22	5
2020.08.04	09:40:00	102180	102180	101990	101990	2	2	5
2020.08.04	09:52:00	102125	102125	102025	102025	3	11	5
2020.08.04	09:54:00	102120	102120	102100	102100	3	6	5
